"filename"	"date"	"time"	"DOY"	"daytime"	"file_records"	"used_records"	"Tau"	"qc_Tau"	"rand_err_Tau"	"H"	"qc_H"	"rand_err_H"	"LE"	"qc_LE"	"rand_err_LE"	"co2_flux"	"qc_co2_flux"	"rand_err_co2_flux"	"h2o_flux"	"qc_h2o_flux"	"rand_err_h2o_flux"	"H_strg"	"LE_strg"	"co2_strg"	"h2o_strg"	"co2_v.adv"	"h2o_v.adv"	"co2_molar_density"	"co2_mole_fraction"	"co2_mixing_ratio"	"co2_time_lag"	"co2_def_timelag"	"h2o_molar_density"	"h2o_mole_fraction"	"h2o_mixing_ratio"	"h2o_time_lag"	"h2o_def_timelag"	"sonic_temperature"	"air_temperature"	"air_pressure"	"air_density"	"air_heat_capacity"	"air_molar_volume"	"ET"	"water_vapor_density"	"e"	"es"	"specific_humidity"	"RH"	"VPD"	"Tdew"	"u_unrot"	"v_unrot"	"w_unrot"	"u_rot"	"v_rot"	"w_rot"	"wind_speed"	"max_wind_speed"	"wind_dir"	"yaw"	"pitch"	"ustar"	"TKE"	"L"	"z-d/L"	"bowen_ratio"	"tstar"	"model"	"x_peak"	"x_offset"	"x_10"	"x_30"	"x_50"	"x_70"	"x_90"	"un_Tau"	"Tau_scf"	"un_H"	"H_scf"	"un_LE"	"LE_scf"	"un_co2_flux"	"co2_scf"	"un_h2o_flux"	"h2o_scf"	"spikes_hf"	"amplitude_resolution_hf"	"drop_out_hf"	"absolute_limits_hf"	"skewness_kurtosis_hf"	"skewness_kurtosis_sf"	"discontinuities_hf"	"discontinuities_sf"	"timelag_hf"	"timelag_sf"	"attack_angle_hf"	"non_steady_wind_hf"	"u_spikes"	"v_spikes"	"w_spikes"	"ts_spikes"	"co2_spikes"	"h2o_spikes"	"u_var"	"v_var"	"w_var"	"ts_var"	"co2_var"	"h2o_var"	"w.ts_cov"	"w.co2_cov"	"w.h2o_cov"	"Ta"	"Rh"	"Ts"	"Pa"	"SWin"	"SWout"	"LWin"	"LWout"	"PPFD"	"Rg"	"SMC"	"SHF"	"co2_molar_density_ORG"	"co2_mole_fraction_ORG"	"co2_mixing_ratio_ORG"	"h2o_molar_density_Li7500_ORG"	"h2o_mole_fraction_Li7500_ORG"	"h2o_mixing_ratio_Li7500_ORG"	"h2o_molar_density_Li7500"	"h2o_mole_fraction_Li7500"	"h2o_mixing_ratio_Li7500"	"qc_wind_dir"	"qc_ustar"	"qc_co2_flux_composite"	"qc_h2o_flux_composite"	"qc_co2_molar_density_composite"	"qc_co2_mixing_ratio_composite"	"qc_h2o_molar_density_composite"	"qc_h2o_molar_density_Li7500_composite"	"qc_h2o_mixing_ratio_composite"	"qc_h2o_mixing_ratio_Li7500_composite"	"F_CO2"	"HC_Burba"	"HC_Frank"	"F_CO2_HC_Burba"	"F_CO2_HC_Frank"	"NEE_orig"	"NEE_f"	"NEE_fqc"	"NEE_fall"	"NEE_fall_qc"	"NEE_fnum"	"NEE_fsd"	"NEE_fmeth"	"NEE_fwin"
"2005_12_04_2230_ECNM.DAT"	"2005-12-04"	"23:00"	338.958	0	18000	18000	-0.28986	0	0.00732761	-11.8187	0	1.91831	-11.0562	0	4.26957	-0.202782	0	0.0951014	-0.244	0	0.0942256	-9999	-9999	-9999	-9999	3.89228e-11	2.24876e-13	9.59108	375.763	376.701	-0.1	0	55.4124	2.17097	2.17569	0.8	0	267.027	267.068	56674.2	0.738694	1006.24	0.0391784	-0.0158112	0.000998531	123.071	387.332	0.00135175	31.774	264.261	252.939	-5.68855	0.389913	-0.298603	5.70971	-1.45854e-14	4.05823e-15	5.70971	10.8566	318.575	176.079	-2.99779	0.626415	1.57919	1207.49	0.00249816	1.06897	-0.0253829	1	20.7153	9	18	35	60	118	402	-0.287412	1.00852	-12.1214	1.01903	-9.45158	1.15141	0.399455	1.15141	-0.208588	1.15141	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	5	13	0	5	5	10	1.64891	1.08724	0.422209	0.150456	0.000174045	25.8284	-0.0163074	0.000399455	-0.208588	267.068	31.774	263.55	56674.2	0	2.487	151.8	268.1	-9999	0	0	-43.4	8.20414	321.425	324.818	-9999	-9999	-9999	-9999	-9999	-9999	2	0	2	-9999	0	0	0	-9999	0	-9999	-9999	0.378143962987373	0.418055613377298	-9999	-9999	-9999	0.801032673469388	1	0.801032673469388	1	49	0.670397367476562	1	14
"2005_12_04_2300_ECNM.DAT"	"2005-12-04"	"23:30"	338.979	0	18000	18000	-0.208521	0	0.00619982	-40.4911	0	3.46473	12.9697	0	3.54943	-0.00907989	0	0.158952	0.286119	0	0.0783023	-0.522474	-0.365118	-1.77074e-05	-0.00805469	1.33021e-10	7.02735e-13	9.61061	375.763	376.639	0	1	50.7716	1.98511	1.98906	0	1	266.602	266.654	56701.6	0.74025	1006.14	0.0390987	0.0185405	0.000914905	112.589	375.246	0.00123594	30.004	262.658	251.915	-5.73002	-0.263893	-0.00246782	5.7361	3.18556e-14	1.38411e-14	5.7361	10.5595	312.469	182.637	-0.0246501	0.530745	1.5423	214.438	0.014067	-3.12197	-0.102432	1	25.5429	11	22	44	77	154	549	-0.206654	1.00904	-39.0885	1.02011	11.5653	1.15978	1.58892	1.15978	0.255136	1.15978	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	6	17	0	5	2	7	1.66193	1.06649	0.356191	0.159207	0.000162162	35.1965	-0.0524822	0.00158892	0.255136	266.654	30.004	263.117	56701.6	0	2.334	151.6	265.9	-9999	0	0	-41	8.22213	321.475	324.781	260.381	10.1805586047	10.2852683822304	59.4741	2.32535999367	2.3307798959942	2	0	2	2	0	0	0	0	0	0	-9999	0.385211591529153	0.426382076411782	-9999	-9999	-9999	0.708186454912281	1	0.708186454912281	1	57	0.664286336183054	1	14
"2005_12_04_2330_ECNM.DAT"	"2005-12-05"	"00:00"	339	0	18000	18000	-0.136485	1	0.00558784	-37.6218	0	2.07866	21.3396	0	2.33198	0.125848	0	0.0938563	0.470677	0	0.0514352	-0.24758	0.0973938	-0.0017948	0.00214816	-3.54287e-11	-1.91856e-13	9.61825	375.721	376.63	0	1	52.0854	2.03463	2.03878	0	1	266.374	266.458	56711.2	0.740906	1006.17	0.0390634	0.0304999	0.000938578	115.417	369.643	0.0012668	31.224	254.226	252.2	-6.08835	-0.415413	0.121706	6.10372	-9.55073e-15	-3.68349e-15	6.10372	10.9504	311.54	183.903	1.14253	0.4292	1.64164	122.067	0.0247118	-1.763	-0.117584	1	36.1644	16	32	63	113	230	852	-0.135149	1.00988	-35.8282	1.022	18.5309	1.17336	1.50905	1.17336	0.408726	1.17336	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	1	18	0	9	4	11	2.09439	0.866238	0.322663	0.178022	0.000190534	32.1416	-0.048061	0.00150905	0.408726	266.458	31.224	262.95	56711.2	0	2.306	149.5	265.2	-9999	0	0	-28.9	8.22783	321.407	324.752	263.703	10.3011357702	10.4083536341294	61.7415	2.4118329111	2.41766391249213	2	0	2	2	0	0	0	0	0	0	-9999	0.383194867419074	0.443529573378741	-9999	-9999	-9999	0.69407117	1	0.69407117	1	59	0.659065777972575	1	14
"2005_12_05_0000_ECNM.DAT"	"2005-12-05"	"00:30"	339.021	0	18000	18000	-0.351929	0	0.0118721	-17.6939	0	2.16701	30.4017	0	5.06436	-0.509572	1	0.08604	0.670304	0	0.11166	-0.498521	-0.255741	-0.0956175	-0.00563863	1.19608e-10	6.09972e-13	9.57817	373.521	374.365	0	1	48.8462	1.90486	1.90849	0	1	265.976	266.064	56723.6	0.742202	1006.09	0.0389971	0.0434357	0.000880208	108.079	358.603	0.00118594	30.139	250.524	251.448	-6.08591	0.415028	-0.318759	6.10837	5.14227e-15	1.24876e-14	6.10837	11.8711	318.554	176.099	-2.99128	0.688599	2.007	1072	0.00281391	-0.582003	-0.034411	1	19.9095	9	17	33	58	113	388	-0.348827	1.00889	-15.9263	1.02	26.3778	1.15783	0.0803476	1.15783	0.581585	1.15783	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	2	5	0	7	4	2	2.17232	1.34143	0.500242	0.160427	0.000154599	23.4604	-0.0213283	8.03476e-05	0.581585	266.064	30.139	262.683	56723.6	0	2.391	147.5	263.9	-9999	0	0	-28.9	8.2427	321.441	324.725	259.27	10.110778117	10.2140501113518	57.8466	2.25584964486	2.26095000813289	2	0	2	2	0	0	0	0	0	0	-9999	0.387867463229648	0.44831347096068	-9999	-9999	-9999	0.614323175833333	1	0.614323175833333	1	60	0.639273341044846	1	14
"2005_12_05_0030_ECNM.DAT"	"2005-12-05"	"01:00"	339.042	0	18000	18000	-0.132003	1	0.00602814	-19.4426	0	1.67084	10.0463	0	1.35688	-0.159165	0	0.0693371	0.221442	0	0.0299088	-0.36608	0.118314	-0.00434696	0.00260791	2.01188e-10	1.05858e-12	9.58639	373.421	374.3	0	1	50.4403	1.96481	1.96868	0	1	265.711	265.775	56725.8	0.743021	1006.12	0.0389532	0.0143495	0.000908934	111.485	350.693	0.00122329	31.79	239.208	251.803	-6.08599	-0.436901	0.0570474	6.10192	-7.22884e-14	2.09868e-14	6.10192	11.6803	311.648	184.106	0.535671	0.421494	1.93949	223.745	0.0134819	-1.93531	-0.0617037	1	37.7518	16	33	65	114	228	812	-0.130777	1.00938	-18.5783	1.02098	8.79505	1.16548	0.597366	1.16548	0.193863	1.16548	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	4	19	1	3	4	2	2.5108	1.04322	0.324948	0.164498	0.000172397	23.7209	-0.0248517	0.000597366	0.193863	265.775	31.79	262.317	56725.8	0	2.264	148.4	262.5	-9999	0	0	-28.9	8.24918	321.332	324.656	262.847	10.2387317604	10.3446478347357	60.2689	2.34766651548	2.35319102324981	2	0	2	2	0	0	0	0	0	0	-9999	0.393037881153429	0.453300856415904	-9999	-9999	-9999	0.490102595535714	1	0.490102595535714	1	56	0.538995721531825	1	14
"2005_12_05_0100_ECNM.DAT"	"2005-12-05"	"01:30"	339.062	0	18000	18000	-0.342159	0	0.0168834	-23.3616	0	2.51418	19.8366	1	5.48065	-1.69583	1	0.234821	0.436967	1	0.120729	-0.854507	0.351075	-0.00494309	0.00773359	-3.67583e-10	-2.10933e-12	9.60586	373.307	374.251	0.9	0	55.1222	2.14218	2.14678	0	1	265.03	265.102	56714.3	0.744707	1006.21	0.0388625	0.0283155	0.000993301	121.525	332.872	0.00133382	36.508	211.347	252.793	-5.86507	0.603717	-0.266396	5.90207	-5.57778e-14	-3.82665e-14	5.90207	12.2384	319.794	174.123	-2.58698	0.67783	2.16476	774.35	0.00389552	-1.1777	-0.0459948	1	19.3258	8	17	32	57	111	380	-0.339192	1.00875	-21.9887	1.0196	17.3876	1.15533	-0.631261	1.15533	0.38302	1.15533	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	4	16	0	8	5	10	2.11455	1.74029	0.474649	0.124665	0.000134565	25.2629	-0.0293444	-0.000631261	0.38302	265.102	36.508	262.017	56714.3	0	2.255	147	260.9	-9999	0	0	-28.9	8.26675	321.266	324.691	271.419	10.5480208875	10.6604677237203	64.8561	2.52047018625	2.52683900863672	2	0	2	2	0	0	0	0	0	0	-9999	0.408161542803798	0.457887424258563	-9999	-9999	-9999	0.407718990816327	1	0.407718990816327	1	49	0.480669212112725	1	14
"2005_12_05_0130_ECNM.DAT"	"2005-12-05"	"02:00"	339.083	0	18000	18000	-0.536519	0	0.0171444	-27.6327	1	2.46257	55.0869	1	7.735	-0.181663	1	0.111028	1.21285	1	0.170302	-0.686688	-0.182397	0.000239596	-0.00401585	-7038.56	-38.6556	9.6209	373.313	374.201	0	1	52.8377	2.05022	2.05443	0	1	264.511	264.562	56686.6	0.745888	1006.16	0.0388023	0.078593	0.000952135	116.251	319.161	0.00127651	36.424	202.91	252.282	-6.83422	1.46997	-0.824711	7.00088	3.12803e-14	-0.731591	7.039	12.7852	326.103	168.195	-9999	0.848117	2.45914	1281.92	0.0023531	-0.50162	-0.0434139	1	18.1094	8	16	30	53	103	351	-0.531315	1.00979	-24.5067	1.02228	47.1635	1.17269	0.600719	1.17269	1.0384	1.17269	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	4	1	0	17	5	20	2.83326	1.47195	0.613067	0.15912	0.000165887	52.9557	-0.0326547	0.000600719	1.0384	264.562	36.424	261.583	56686.6	0	2.368	143	259.4	-9999	0	0	-31.3	8.27923	321.253	324.629	267.986	10.3984731678	10.5077375952384	61.1612	2.37319523076	2.37884068412631	0	0	1	1	0	0	0	0	0	0	-0.181663	0.399717682886262	0.511065677838478	0.218054682886262	0.329402677838478	-9999	0.334940503333333	1	0.334940503333333	1	45	0.440662645675046	1	14
"2005_12_05_0200_ECNM.DAT"	"2005-12-05"	"02:30"	339.104	0	18000	18000	-0.345592	0	0.0136342	-43.8475	0	3.17198	19.7376	0	3.40016	0.027039	0	0.157383	0.434444	0	0.0748407	-0.378064	-0.588589	0.00961531	-0.0129554	-6500.72	-30.5231	9.63685	373.533	374.329	0	1	45.2483	1.75386	1.75694	0	1	264.223	264.265	56683.4	0.746768	1005.99	0.0387609	0.028152	0.000815374	99.4416	311.837	0.00109187	31.889	212.395	250.503	-6.21	1.55579	-0.749496	6.41025	-1.68652e-14	-0.674569	6.44564	12.2126	328.313	166.272	-9999	0.680283	2.01734	416.872	0.00723603	-2.22152	-0.0857974	1	21.6062	9	19	36	64	126	438	-0.34236	1.00944	-42.0284	1.02128	17.2762	1.16675	1.7083	1.16675	0.380265	1.16675	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	4	0	0	3	2	2	2.35055	1.18459	0.499549	0.144067	0.000158282	17.3267	-0.055945	0.0017083	0.380265	264.265	31.889	261.25	56683.4	0	2.611	139.2	257.3	-9999	0	0	-31.3	8.29266	321.431	324.676	257.864	9.9950407176	10.0959501504365	54.8574	2.12632219566	2.13085307585087	0	0	0	0	0	0	0	0	0	0	0.027039	0.414497695013877	0.494704099892649	0.441536695013878	0.521743099892649	0.027039	0.027039	0	0.318964610227273	1	44	0.441825724781227	1	14
"2005_12_05_0230_ECNM.DAT"	"2005-12-05"	"03:00"	339.125	0	18000	18000	-0.273311	0	0.0143109	-24.8272	0	2.69695	20.644	0	3.93633	0.00324433	0	0.126374	0.454374	0	0.0866384	-0.0649309	-0.00813838	0.00146249	-0.000179125	-3457.54	-16.195	9.63933	373.566	374.364	0	1	45.1502	1.74977	1.75283	0	1	264.192	264.214	56682	0.746895	1005.99	0.0387544	0.0294434	0.000813606	99.2068	310.594	0.00108932	31.941	211.387	250.476	-4.93104	0.999728	-0.428354	5.03681	-1.21536e-13	-0.358691	5.04957	9.67075	325.233	168.782	-9999	0.604921	1.56187	517.655	0.00582724	-1.20263	-0.0546229	1	18.0847	8	16	30	53	104	361	-0.271129	1.00805	-23.4264	1.01772	18.2562	1.14287	0.909087	1.14287	0.401818	1.14287	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	3	3	0	2	0	1	1.65789	1.08539	0.380446	0.149562	0.000190705	19.1217	-0.0311782	0.000909087	0.401818	264.214	31.941	260.75	56682	0	2.938	139.9	255.4	-9999	0	0	-38.6	8.29409	321.432	324.679	258.076	10.0015805344	10.1026227292351	55.0019	2.13156563336	2.1361189110195	0	0	0	0	0	0	0	0	0	0	0.00324433	0.438520630643789	0.438289360465152	0.441764960643789	0.441533690465152	0.00324433	0.00324433	0	0.29732471744186	1	43	0.422803388183587	1	14
"2005_12_05_0300_ECNM.DAT"	"2005-12-05"	"03:30"	339.146	0	18000	18000	-0.0732724	1	0.004983	-22.5069	0	1.99629	7.01774	0	2.08443	0.0148021	0	0.106746	0.154434	0	0.0458704	-0.230654	-0.091305	0.00891628	-0.00200927	-3160.06	-14.4054	9.65359	373.77	374.555	0	1	44.0065	1.70385	1.70676	0	1	263.968	264.033	56696	0.747604	1005.97	0.0387183	0.0100073	0.000792997	96.6276	306.22	0.00106072	31.555	209.592	250.179	-4.11721	1.20391	-0.369274	4.29302	1.23777e-14	-0.327346	4.30549	8.8377	330.043	163.956	-9999	0.313065	1.10136	79.1645	0.0381042	-3.20714	-0.0955932	1	34.0209	15	31	61	110	228	879	-0.0726527	1.00853	-21.775	1.01837	6.28858	1.15009	0.914063	1.15009	0.138388	1.15009	800000099	800000099	800000099	899999999	800000099	800000099	800000199	800000199	89999	89999	89	80	8	5	1	0	0	14	1.30805	0.643358	0.251315	0.146078	0.00021202	14.162	-0.0289537	0.000914063	0.138388	264.033	31.555	260.25	56696	0	3.041	141.2	253.2	-9999	0	0	-36.2	8.30716	321.639	324.873	257.116	9.9550944228	10.0551948368404	54.1494	2.09657271402	2.10097756625818	0	0	0	0	0	0	0	0	0	0	0.0148021	0.454812538074487	0.407382125257262	0.469614638074487	0.422184225257262	0.0148021	0.0148021	0	0.266263435365854	1	41	0.399481092121109	1	14
