"date","time","DOY","H","LE","co2_flux","ch4_flux","co2_strg","ch4_strg","co2_mixing_ratio","ch4_mixing_ratio","wind_speed","wind_dir","u*","co2_signal_strength_7500_mean","rssi_77_mean"
"[yyyy-mm-dd]","[HH:MM]","[ddd.ddd]","[W m-2]","[W m-2]","[mol m-2 s-1]","[mol m-2 s-1]","[mol m-2 s-1]","[mol m-2 s-1]","[mol mol-1]","[mol mol-1]","[m s-1]","[deg_from_north]","[m s-1]","%","%"
"2023-05-01","0:00","121","-46.5156","19.9848","0.652239","-5.50E-03","2.07E-02","1.52E-03","429.034","2.0776","3.77256","125.954","0.278801","99.5329","37.9472"
"2023-05-01","0:30","121.0208","-51.8535","17.4449","1.17458","-2.68E-04","-9999","-9999","429.818","2.08641","4.01996","122.859","0.281321","99.5293","38.2409"
"2023-05-01","1:00","121.0416","-13.9166","6.30934","0.132015","-1.05E-03","0.19021","1.80E-04","431.798","2.08815","2.3201","122.6","0.138645","99.5397","37.6943"
"2023-05-01","1:30","121.0624","-39.6471","3.91226","1.22139","-2.96E-03","3.78E-02","6.34E-04","432.244","2.09507","1.91887","164.917","0.26862","99.552","37.6161"
"2023-05-01","2:00","121.0833","13.5842","-0.987038","-2.48707","-5.01E-03","0.41363","1.30E-03","436.61","2.10879","1.2426","214.639","0.104691","99.5511","38.2257"
"2023-05-01","2:30","121.1041","-4.40475","4.95858","0.409641","3.06E-03","0.395273","-4.59E-04","440.806","2.10422","0.696765","274.621","7.42E-02","99.5637","37.9078"
"2023-05-01","3:00","121.1249","7.67569","-0.81733","-2.99097","-1.85E-03","0.267346","4.66E-04","443.474","2.1085","0.765843","290.915","6.65E-02","99.583","37.6995"
"2023-05-01","3:30","121.1458","-16.1612","-4.65667","4.27243","-1.13E-03","0.304291","3.08E-04","446.669","2.11183","0.157845","80.6697","9.13E-02","99.6026","37.2808"
"2023-05-01","4:00","121.1666","-4.15402","-1.26027","3.13193","1.48E-05","0.943702","-1.28E-04","456.361","2.10998","0.489697","90.6592","7.42E-02","99.6217","37.0032"
"2023-05-01","4:30","121.1874","2.08207","1.17902","-0.670901","1.68E-03","-0.403169","4.98E-04","452.141","2.11501","0.926968","74.5716","5.27E-02","99.6328","36.9289"
"2023-05-01","5:00","121.2082","-4.49873","0.451137","2.91396","-7.58E-03","0.810448","1.13E-03","460.401","2.12608","0.729267","98.5586","4.90E-02","99.6373","36.8155"
"2023-05-01","5:30","121.2291","-2.16985","-3.0131","-0.425888","-9.31E-02","4.22E-02","1.28E-02","460.853","2.25864","1.04202","96.5782","7.96E-02","99.6037","35.717"
"2023-05-01","6:00","121.2499","2.29056","-9.35153","-4.2701","2.63E-02","1.28748","6.34E-03","474.523","2.32597","0.411061","187.038","7.77E-02","99.5421","34.926"
"2023-05-01","6:30","121.2707","0.829063","16.4359","0.777064","-1.52E-02","-1.10963","-8.79E-04","463.201","2.31825","1.02161","155.979","0.113651","99.4673","34.2074"
"2023-05-01","7:00","121.2916","15.3324","33.6709","2.76554","2.64E-02","-1.34044","-3.92E-03","449.027","2.27676","1.61178","146.877","0.167977","99.396","34.4275"
"2023-05-01","7:30","121.3124","44.7203","48.8176","-0.591714","5.01E-03","-1.11407","-1.03E-02","437.123","2.1671","2.6173","149.153","0.257976","99.3162","33.6852"
"2023-05-01","8:00","121.3332","81.6683","68.7657","-0.113844","7.29E-03","-0.22101","3.10E-05","434.742","2.16736","3.24064","148.404","0.305909","99.2293","33.9814"
"2023-05-01","8:30","121.3541","138.804","85.4208","-1.5736","-1.40E-02","-0.188142","-1.59E-03","432.713","2.15026","3.66837","144.547","0.356288","99.17","34.2124"
"2023-05-01","9:00","121.3749","115.483","80.8989","-0.37466","7.12E-03","-0.153497","-3.24E-03","431.092","2.11533","4.20342","144.305","0.357578","99.1252","33.9582"
"2023-05-01","9:30","121.3957","146.89","107.275","-0.951885","-2.49E-03","-8.44E-02","-1.14E-04","430.238","2.11441","4.39994","151.438","0.404229","99.1063","31.2967"
"2023-05-01","10:00","121.4166","106.426","100.317","-1.04739","5.01E-03","-0.184631","-1.65E-03","428.241","2.09647","4.60312","145.518","0.417461","99.1311","34.3476"
"2023-05-01","10:30","121.4374","182.72","165.741","-0.804359","5.72E-03","-0.109869","-9.09E-04","427.044","2.08652","5.24054","149.814","0.501691","99.1522","33.1996"
"2023-05-01","11:00","121.4582","184.729","158.058","-0.91675","2.58E-03","-4.03E-02","-2.44E-04","426.593","2.0838","5.6552","144.157","0.49634","99.1612","33.1706"
"2023-05-01","11:30","121.479","174.484","165.053","-0.630877","1.36E-03","9.11E-03","6.56E-04","426.725","2.09124","6.04327","147.371","0.506637","99.2389","34.169"
"2023-05-01","12:00","121.4999","172.425","183.114","-0.815522","3.79E-03","-6.04E-02","-1.01E-03","425.931","2.07944","6.07437","145.95","0.496584","99.2639","33.881"
"2023-05-01","12:30","121.5207","187.114","217.407","-0.842577","6.97E-03","-4.93E-03","-4.99E-04","425.705","2.07304","6.23489","152.392","0.568663","99.28","34.3798"
"2023-05-01","13:00","121.5415","186.485","221.387","-0.901081","3.15E-04","-9.74E-02","5.89E-05","424.277","2.07205","6.34818","149.447","0.575629","99.2887","32.0068"
"2023-05-01","13:30","121.5624","203.592","249.941","-0.60895","6.66E-03","-1.68E-02","-1.32E-03","424.023","2.05697","6.15698","154.929","0.52825","99.3144","33.3863"
"2023-05-01","14:00","121.5832","193.124","268.587","-0.593885","1.74E-02","3.59E-03","-3.78E-04","424","2.05242","6.17194","151.666","0.584782","99.3201","34.304"
"2023-05-01","14:30","121.604","176.334","236.732","-0.566437","1.98E-03","-1.76E-02","2.17E-04","423.749","2.0546","5.97816","145.989","0.594441","99.3491","32.7602"
"2023-05-01","15:00","121.6249","160.433","240.659","-0.262627","7.52E-03","2.30E-02","-6.45E-04","423.923","2.04694","6.18449","157.469","0.597838","99.3455","33.7388"
"2023-05-01","15:30","121.6457","131.353","176.836","0.431412","1.25E-02","1.23E-02","-1.88E-04","424.052","2.04478","5.75106","140.279","0.55121","99.3379","34.3783"
"2023-05-01","16:00","121.6665","118.935","188.171","3.56E-03","5.31E-03","-2.03E-02","-7.84E-05","423.716","2.04338","6.07731","128.384","0.526305","99.3219","33.9608"
"2023-05-01","16:30","121.6873","95.1617","159.52","-0.184662","3.86E-03","-1.43E-02","-2.60E-04","423.452","2.03995","5.84178","129.881","0.478715","99.3163","34.1474"
"2023-05-01","17:00","121.7082","51.772","116.69","0.23895","3.09E-03","-3.70E-02","-3.13E-04","422.962","2.03609","5.26328","119.756","0.412005","99.2984","33.4754"
