Binned_average_and_predicted_spectra_for_passive_gases
,n_=_0,,,,n_=_0,,,,n_=_0,,,
nat_freq,avrg_sp(T),avrg_sp(co2),denoised_avrg_sp(co2),pred_sp(co2),avrg_sp(T),avrg_sp(ch4),denoised_avrg_sp(ch4),pred_sp(ch4),avrg_sp(T),avrg_sp(none),denoised_avrg_sp(none),pred_sp(none)
0.976562E-03,0.147138,0.183086,0.00000,0.131492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.195312E-02,0.940395E-01,0.106632,0.00000,0.840394E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.292969E-02,0.107167,0.111730,0.00000,0.957701E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.390625E-02,0.119390,0.121671,0.00000,0.106693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.488281E-02,0.122715,0.123359,0.00000,0.109663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.585938E-02,0.123739,0.122171,0.00000,0.110576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.683594E-02,0.125371,0.126487,0.00000,0.112033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.781250E-02,0.136814,0.129297,0.00000,0.122257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.878906E-02,0.134115,0.130083,0.00000,0.119842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.102539E-01,0.141338,0.128580,0.00000,0.126292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.122070E-01,0.151518,0.144675,0.00000,0.135381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.141602E-01,0.164669,0.156550,0.00000,0.147121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.161133E-01,0.166491,0.150114,0.00000,0.148739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.185547E-01,0.172534,0.157551,0.00000,0.154120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.219727E-01,0.181490,0.164072,0.00000,0.162093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.258789E-01,0.181985,0.162308,0.00000,0.162496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.297852E-01,0.180316,0.164692,0.00000,0.160961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.341797E-01,0.185506,0.163402,0.00000,0.165536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.395508E-01,0.182920,0.164773,0.00000,0.163146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.463867E-01,0.184356,0.164164,0.00000,0.164305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.541992E-01,0.176661,0.157574,0.00000,0.157292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.625000E-01,0.169736,0.151763,0.00000,0.150942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.727539E-01,0.170037,0.149115,0.00000,0.150946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.849609E-01,0.152204,0.136753,0.00000,0.134790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.986328E-01,0.147497,0.131060,0.00000,0.130212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.114258,0.136935,0.121612,0.00000,0.120388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.132324,0.126789,0.114424,0.00000,0.110854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.153809,0.113970,0.100192,0.00000,0.988947E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.178711,0.105838,0.923954E-01,0.00000,0.909147E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.207520,0.999382E-01,0.837111E-01,0.00000,0.847016E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.241211,0.902902E-01,0.743471E-01,0.00000,0.751627E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.280273,0.840825E-01,0.680660E-01,0.00000,0.683559E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.325684,0.788085E-01,0.595758E-01,0.00000,0.621038E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.378418,0.757366E-01,0.541382E-01,0.00000,0.573116E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.439453,0.720381E-01,0.483872E-01,0.00000,0.517486E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.510742,0.695185E-01,0.439745E-01,0.00000,0.467236E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.593750,0.677070E-01,0.396424E-01,0.00000,0.418587E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.689453,0.681857E-01,0.368485E-01,0.00000,0.380676E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.800781,0.712165E-01,0.360124E-01,0.00000,0.351551E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
