Binned_average_and_predicted_H2O_spectra_sorted_by_RH-class.
,RH=0.1,,,,RH=0.2,,,,RH=0.3,,,,RH=0.4,,,,RH=0.5,,,,RH=0.6,,,,RH=0.7,,,,RH=0.8,,,,RH=0.9
,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,
nat_freq,avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o),avrg_sp(T),avrg_sp(h2o),denoised_avrg_sp(h2o),pred_sp(h2o)
0.976562E-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100845,0.975128E-01,0.00000,0.113697,0.125852,0.130772,0.00000,0.134773,0.176992,0.162274,0.00000,0.209639,0.163539,0.160424,0.00000,0.193223,0.167051,0.114012,0.00000,0.204078,NaN,NaN,NaN,NaN
0.195312E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.159612,0.150319,0.00000,0.179951,0.136816,0.160614,0.00000,0.146510,0.156777,0.195492,0.00000,0.185682,0.107562,0.167699,0.00000,0.127059,0.115022,0.208642,0.00000,0.140429,NaN,NaN,NaN,NaN
0.292969E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.163519,0.150227,0.00000,0.184350,0.175072,0.187567,0.00000,0.187469,0.127108,0.176482,0.00000,0.150525,0.138763,0.192277,0.00000,0.163858,0.135042,0.247691,0.00000,0.164700,NaN,NaN,NaN,NaN
0.390625E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197857,0.194082,0.00000,0.223053,0.155748,0.164476,0.00000,0.166768,0.137647,0.182018,0.00000,0.162977,0.147147,0.221315,0.00000,0.173672,0.126540,0.188720,0.00000,0.154109,NaN,NaN,NaN,NaN
0.488281E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161994,0.163256,0.00000,0.182612,0.159534,0.171777,0.00000,0.170810,0.170601,0.202619,0.00000,0.201951,0.152849,0.225308,0.00000,0.180288,0.109900,0.160501,0.00000,0.133595,NaN,NaN,NaN,NaN
0.585938E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.169888,0.188059,0.00000,0.191498,0.168538,0.171379,0.00000,0.180433,0.151068,0.178953,0.00000,0.178781,0.159022,0.207294,0.00000,0.187426,0.124308,0.183928,0.00000,0.150768,NaN,NaN,NaN,NaN
0.683594E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.157732,0.156536,0.00000,0.177781,0.168060,0.176433,0.00000,0.179902,0.140048,0.177013,0.00000,0.165687,0.149346,0.191292,0.00000,0.175861,0.126627,0.187015,0.00000,0.153171,NaN,NaN,NaN,NaN
0.781250E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.159943,0.135333,0.00000,0.180256,0.178652,0.198645,0.00000,0.191218,0.117667,0.155682,0.00000,0.139158,0.112157,0.161252,0.00000,0.131931,0.167117,0.230168,0.00000,0.201529,NaN,NaN,NaN,NaN
0.878906E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.189804,0.183578,0.00000,0.213887,0.150220,0.171433,0.00000,0.160763,0.153319,0.198149,0.00000,0.181245,0.977259E-01,0.136354,0.00000,0.114819,0.132648,0.187860,0.00000,0.159409,NaN,NaN,NaN,NaN
0.102539E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167317,0.174630,0.00000,0.188512,0.155213,0.168731,0.00000,0.166068,0.153321,0.187823,0.00000,0.181119,0.140854,0.188740,0.00000,0.165153,0.158480,0.196644,0.00000,0.189324,NaN,NaN,NaN,NaN
0.122070E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.128863,0.156497,0.00000,0.145145,0.153261,0.169506,0.00000,0.163918,0.155696,0.192362,0.00000,0.183719,0.135149,0.181749,0.00000,0.157958,0.186166,0.236685,0.00000,0.220346,NaN,NaN,NaN,NaN
0.141602E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197111,0.221226,0.00000,0.221941,0.154212,0.169526,0.00000,0.164863,0.170851,0.215205,0.00000,0.201338,0.142357,0.177628,0.00000,0.165760,0.183101,0.213774,0.00000,0.214397,NaN,NaN,NaN,NaN
0.161133E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161003,0.167417,0.00000,0.181214,0.188117,0.211289,0.00000,0.201008,0.182363,0.235839,0.00000,0.214580,0.135539,0.155414,0.00000,0.157147,0.166874,0.190084,0.00000,0.193021,NaN,NaN,NaN,NaN
0.185547E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.140782,0.152809,0.00000,0.158367,0.170349,0.185256,0.00000,0.181892,0.139556,0.179379,0.00000,0.163858,0.180495,0.199107,0.00000,0.207999,0.152255,0.183718,0.00000,0.173100,NaN,NaN,NaN,NaN
0.219727E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.219235,0.242579,0.00000,0.246395,0.163099,0.180436,0.00000,0.173946,0.163730,0.190833,0.00000,0.191569,0.139985,0.157272,0.00000,0.159727,0.151345,0.159661,0.00000,0.167381,NaN,NaN,NaN,NaN
0.258789E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.185676,0.213121,0.00000,0.208423,0.155271,0.168106,0.00000,0.165335,0.143921,0.174625,0.00000,0.167600,0.156149,0.172929,0.00000,0.175833,0.171710,0.181083,0.00000,0.183173,NaN,NaN,NaN,NaN
0.297852E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.176697,0.209557,0.00000,0.198062,0.163183,0.181969,0.00000,0.173440,0.151932,0.186689,0.00000,0.175965,0.149359,0.162721,0.00000,0.165659,0.162747,0.152862,0.00000,0.166740,NaN,NaN,NaN,NaN
0.341797E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.180827,0.207824,0.00000,0.202320,0.185245,0.200830,0.00000,0.196422,0.146450,0.171094,0.00000,0.168432,0.150938,0.160110,0.00000,0.164220,0.198266,0.168263,0.00000,0.193240,NaN,NaN,NaN,NaN
0.395508E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.182287,0.201545,0.00000,0.203427,0.156490,0.167284,0.00000,0.165378,0.129195,0.150982,0.00000,0.147138,0.148207,0.164568,0.00000,0.157033,0.161571,0.148608,0.00000,0.147367,NaN,NaN,NaN,NaN
0.463867E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.176743,0.210624,0.00000,0.196489,0.162443,0.174859,0.00000,0.170826,0.141833,0.160373,0.00000,0.159230,0.139417,0.144442,0.00000,0.142203,0.144509,0.115161,0.00000,0.120346,NaN,NaN,NaN,NaN
0.541992E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171628,0.206998,0.00000,0.189834,0.172228,0.179685,0.00000,0.179932,0.136456,0.144382,0.00000,0.150328,0.147749,0.138753,0.00000,0.143532,0.177199,0.131142,0.00000,0.132194,NaN,NaN,NaN,NaN
0.625000E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.155729,0.183493,0.00000,0.171179,0.145844,0.157313,0.00000,0.151150,0.147518,0.147200,0.00000,0.158851,0.164719,0.136858,0.00000,0.151153,0.163765,0.107329,0.00000,0.108268,NaN,NaN,NaN,NaN
0.727539E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.142579,0.167607,0.00000,0.155342,0.144474,0.148958,0.00000,0.148037,0.145941,0.144160,0.00000,0.152240,0.145109,0.116326,0.00000,0.123374,0.148705,0.847137E-01,0.00000,0.845370E-01,NaN,NaN,NaN,NaN
0.849609E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.162474,0.172791,0.00000,0.174877,0.137771,0.141585,0.00000,0.138986,0.126461,0.118187,0.00000,0.126432,0.125309,0.922662E-01,0.00000,0.966777E-01,0.133808,0.650355E-01,0.00000,0.636818E-01,NaN,NaN,NaN,NaN
0.986328E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144613,0.153757,0.00000,0.153237,0.131566,0.123925,0.00000,0.130103,0.121913,0.113052,0.00000,0.115616,0.126774,0.860645E-01,0.00000,0.872751E-01,0.117104,0.508048E-01,0.00000,0.459723E-01,NaN,NaN,NaN,NaN
0.114258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.132818,0.139100,0.00000,0.137902,0.117131,0.110433,0.00000,0.112873,0.115698,0.990826E-01,0.00000,0.102720,0.111521,0.707346E-01,0.00000,0.671861E-01,0.116729,0.413952E-01,0.00000,0.371934E-01,NaN,NaN,NaN,NaN
0.132324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.129224,0.119915,0.00000,0.130644,0.118310,0.105638,0.00000,0.110241,0.111581,0.897042E-01,0.00000,0.912651E-01,0.104148,0.559693E-01,0.00000,0.537538E-01,0.111805,0.333215E-01,0.00000,0.284484E-01,NaN,NaN,NaN,NaN
